tijdstip;temperatuur;PAR;zonlicht;RV;neerslag
8/10/2018 1:40;6.7;3.26;0;84.77;0
8/10/2018 1:42;6.64;3.29;0;84.77;0
8/10/2018 1:44;6.58;3.29;0;84.84;0
8/10/2018 1:46;6.53;3.27;0;84.78;0
8/10/2018 1:48;6.5;3.25;0;84.77;0
8/10/2018 1:50;6.46;3.25;0;84.75;0
8/10/2018 1:52;6.41;3.23;0;84.81;0
8/10/2018 1:54;6.41;3.22;0;84.75;0
8/10/2018 1:56;6.39;3.2;0;84.81;0
8/10/2018 1:58;6.4;3.2;0;84.82;0
8/10/2018 2:00;6.43;3.25;0;84.82;0
8/10/2018 2:02;6.4;3.26;0;84.79;0
8/10/2018 2:04;6.39;3.25;0;84.71;0
8/10/2018 2:06;6.34;3.24;0;84.76;0
8/10/2018 2:08;6.25;3.29;0;84.79;0
8/10/2018 2:10;6.21;3.23;0;84.73;0
8/10/2018 2:12;6.2;3.29;0;84.72;0
8/10/2018 2:14;6.38;3.24;0;84.79;0
8/10/2018 2:16;6.35;3.25;0;84.67;0
8/10/2018 2:18;6.24;3.29;0;84.73;0
8/10/2018 2:20;6.15;3.25;0;84.72;0
8/10/2018 2:22;6.08;3.27;0;84.73;0
8/10/2018 2:24;6.04;3.26;0;84.74;0
8/10/2018 2:26;6.05;3.24;0;84.7;0
8/10/2018 2:28;6;3.26;0;84.78;0
8/10/2018 2:30;5.94;3.29;0;84.69;0
8/10/2018 2:32;5.89;3.32;0;84.66;0
8/10/2018 2:34;5.95;3.32;0;84.71;0
8/10/2018 2:36;6.05;3.36;0;84.8;0
8/10/2018 2:38;6.12;3.34;0;84.69;0
8/10/2018 2:40;6.05;3.28;0;84.77;0
8/10/2018 2:42;5.99;3.34;0;84.71;0
8/10/2018 2:44;5.92;3.35;0;84.7;0
8/10/2018 2:46;5.84;3.32;0;84.8;0
8/10/2018 2:48;5.81;3.28;0;84.78;0
8/10/2018 2:50;5.84;3.31;0;84.74;0
8/10/2018 2:52;5.83;3.28;0;84.7;0
8/10/2018 2:54;5.77;3.3;0;84.81;0
8/10/2018 2:56;5.71;3.3;0;84.75;0
8/10/2018 2:58;5.78;3.32;0;84.76;0
8/10/2018 3:00;5.85;3.26;0;84.8;0
8/10/2018 3:02;5.84;3.33;0;84.76;0
8/10/2018 3:04;5.81;3.33;0;84.76;0
8/10/2018 3:06;5.82;3.28;0;84.69;0
8/10/2018 3:08;5.74;3.31;0;84.75;0
8/10/2018 3:10;5.6;3.32;0;84.73;0
8/10/2018 3:12;5.5;3.29;0;84.69;0
8/10/2018 3:14;5.46;3.28;0;84.74;0
8/10/2018 3:16;5.39;3.28;0;84.71;0
8/10/2018 3:18;5.43;3.26;0;84.75;0
8/10/2018 3:20;5.51;3.24;0;84.75;0
8/10/2018 3:22;5.65;3.25;0;84.75;0
8/10/2018 3:24;5.67;3.24;0;84.74;0
8/10/2018 3:26;5.63;3.25;0;84.7;0
8/10/2018 3:28;5.57;3.27;0;84.78;0
8/10/2018 3:30;5.52;3.26;0;84.7;0
8/10/2018 3:32;5.5;3.22;0;84.74;0
8/10/2018 3:34;5.46;3.28;0;84.76;0
8/10/2018 3:36;5.41;3.26;0;84.77;0
8/10/2018 3:38;5.42;3.27;0;84.77;0
8/10/2018 3:40;5.41;3.29;0;84.75;0
8/10/2018 3:42;5.41;3.28;0;84.77;0
8/10/2018 3:44;5.41;3.28;0;84.68;0
8/10/2018 3:46;5.34;3.25;0;84.72;0
8/10/2018 3:48;5.25;3.24;0;84.69;0
8/10/2018 3:50;5.2;3.24;0;84.73;0
8/10/2018 3:52;5.23;3.25;0;84.79;0
8/10/2018 3:54;5.33;3.27;0;84.65;0
8/10/2018 3:56;5.3;3.27;0;84.62;0
8/10/2018 3:58;5.23;3.31;0;84.7;0
8/10/2018 4:00;5.13;3.23;0;84.73;0
8/10/2018 4:02;5.1;3.22;0;84.7;0
8/10/2018 4:04;5.17;3.23;0;84.68;0
8/10/2018 4:06;5.16;3.23;0;84.75;0
8/10/2018 4:08;5.12;3.24;0;84.73;0
8/10/2018 4:10;5.15;3.3;0;84.67;0
8/10/2018 4:12;5.15;3.28;0;84.71;0
8/10/2018 4:14;5.12;3.28;0;84.78;0
8/10/2018 4:16;5.05;3.26;0;84.73;0
8/10/2018 4:18;5.1;3.28;0;84.73;0
8/10/2018 4:20;5.21;3.29;0;84.73;0
8/10/2018 4:22;5.15;3.28;0;84.75;0
8/10/2018 4:24;5.12;3.26;0;84.67;0
8/10/2018 4:26;5.15;3.25;0;84.79;0
8/10/2018 4:28;5.12;3.24;0;84.75;0
8/10/2018 4:30;5.07;3.24;0;84.66;0
8/10/2018 4:32;5.26;3.24;0;84.76;0
8/10/2018 4:34;5.53;3.25;0;84.81;0
8/10/2018 4:36;5.63;3.25;0;84.66;0
8/10/2018 4:38;5.65;3.24;0;84.72;0
8/10/2018 4:40;5.56;3.27;0;84.8;0
8/10/2018 4:42;5.44;3.27;0;84.77;0
8/10/2018 4:44;5.33;3.26;0;84.67;0
8/10/2018 4:46;5.26;3.28;0;84.69;0
8/10/2018 4:48;5.25;3.29;0;84.74;0
8/10/2018 4:50;5.35;3.3;0;84.68;0
8/10/2018 4:52;5.41;3.29;0;84.78;0
8/10/2018 4:54;5.46;3.33;0;84.63;0
8/10/2018 4:56;5.48;3.32;0;84.75;0
8/10/2018 4:58;5.4;3.3;0;84.73;0
8/10/2018 5:00;5.27;3.32;0;84.79;0
8/10/2018 5:02;5.11;3.31;0;84.71;0
8/10/2018 5:04;5.08;3.33;0;84.74;0
8/10/2018 5:06;5.03;3.3;0;84.7;0
8/10/2018 5:08;4.85;3.32;0;84.74;0
8/10/2018 5:10;4.72;3.28;0;84.72;0
8/10/2018 5:12;4.54;3.33;0;84.58;0
8/10/2018 5:14;4.39;3.31;0;84.68;0
8/10/2018 5:16;4.29;3.31;0;84.67;0
8/10/2018 5:18;4.21;3.33;0;84.66;0
8/10/2018 5:20;4.16;3.35;0;84.68;0
8/10/2018 5:22;4.21;3.35;0;84.67;0
8/10/2018 5:24;4.32;3.29;0;84.69;0
8/10/2018 5:26;4.42;3.35;0;84.74;0
8/10/2018 5:28;4.51;3.33;0;84.7;0
8/10/2018 5:30;4.55;3.33;0;84.62;0
8/10/2018 5:32;4.59;3.36;0;84.7;0
8/10/2018 5:34;4.72;3.33;0;84.63;0
8/10/2018 5:36;4.88;3.36;0;84.67;0
8/10/2018 5:38;4.9;3.38;0;84.69;0
8/10/2018 5:40;4.82;3.37;0;84.73;0
8/10/2018 5:42;4.68;3.36;0;84.74;0
8/10/2018 5:44;4.59;3.36;0;84.68;0
8/10/2018 5:46;4.76;3.31;0;84.72;0
8/10/2018 5:48;4.87;3.35;0;84.76;0
8/10/2018 5:50;4.86;3.35;0;84.77;0
8/10/2018 5:52;4.84;3.35;0;84.77;0
8/10/2018 5:54;4.99;3.36;0;84.73;0
8/10/2018 5:56;4.93;3.36;0;84.69;0
8/10/2018 5:58;4.85;3.34;0;84.75;0
8/10/2018 6:00;4.57;3.31;0;84.75;0
8/10/2018 6:02;4.38;3.35;0;84.68;0
8/10/2018 6:04;4.24;3.27;0;84.7;0
8/10/2018 6:06;4.3;3.33;0;84.68;0
8/10/2018 6:08;4.54;3.36;0;84.74;0
8/10/2018 6:10;4.69;3.36;0;84.71;0
8/10/2018 6:12;4.83;3.32;0;84.68;0
8/10/2018 6:14;4.82;3.33;0;84.71;0
8/10/2018 6:16;4.69;3.35;0;84.67;0
8/10/2018 6:18;4.55;3.37;0;84.72;0
8/10/2018 6:20;4.43;3.31;0;84.73;0
8/10/2018 6:22;4.38;3.32;0;84.79;0
8/10/2018 6:24;4.43;3.32;0;84.76;0
8/10/2018 6:26;4.53;3.34;0;84.69;0
8/10/2018 6:28;4.55;3.34;0;84.62;0
8/10/2018 6:30;4.63;3.35;0;84.68;0
8/10/2018 6:32;4.78;3.29;0;84.74;0
8/10/2018 6:34;4.94;3.3;0;84.66;0
8/10/2018 6:36;4.87;3.27;0;84.72;0
8/10/2018 6:38;4.82;3.3;0;84.71;0
8/10/2018 6:40;5.01;3.28;0;84.79;0
8/10/2018 6:42;4.83;3.28;0;84.75;0
8/10/2018 6:44;4.49;3.33;0;84.71;0
8/10/2018 6:46;4.34;3.29;0;84.73;0
8/10/2018 6:48;4.15;3.32;0;84.72;0
8/10/2018 6:50;4.07;3.3;0;84.69;0
8/10/2018 6:52;4.15;3.33;0;84.8;0
8/10/2018 6:54;4.23;3.25;0;84.78;0
8/10/2018 6:56;4.36;3.26;0;84.67;0
8/10/2018 6:58;4.53;3.3;0;84.71;0
8/10/2018 7:00;4.49;3.32;0;84.74;0
8/10/2018 7:02;4.44;3.31;0;84.61;0
8/10/2018 7:04;4.44;3.28;0;84.71;0
8/10/2018 7:06;4.43;3.32;0;84.71;0
8/10/2018 7:08;4.46;3.32;0;84.71;0
8/10/2018 7:10;4.4;3.31;0;84.74;0
8/10/2018 7:12;4.34;3.29;0;84.67;0
8/10/2018 7:14;4.32;3.34;0;84.76;0
8/10/2018 7:16;4.34;3.37;0;84.67;0
8/10/2018 7:18;4.37;3.38;0;84.71;0
8/10/2018 7:20;4.38;3.45;0;84.6;0
8/10/2018 7:22;4.35;3.5;0;84.72;0
8/10/2018 7:24;4.33;3.5;0;84.74;0
8/10/2018 7:26;4.34;3.58;0;84.79;0
8/10/2018 7:28;4.32;3.76;0;84.74;0
8/10/2018 7:30;4.34;3.89;0.05;84.73;0
8/10/2018 7:32;4.3;4.2;0.28;84.67;0
8/10/2018 7:34;4.24;4.56;0.66;84.65;0
8/10/2018 7:36;4.33;4.95;0.93;84.69;0
8/10/2018 7:38;4.39;5.51;1.16;84.72;0
8/10/2018 7:40;4.37;6.51;1.94;84.71;0
8/10/2018 7:42;4.37;7.84;3.02;84.71;0
8/10/2018 7:44;4.44;9.34;4;84.7;0
8/10/2018 7:46;4.85;10.91;4.81;84.73;0
8/10/2018 7:48;5.01;12.7;5.62;84.74;0
8/10/2018 7:50;4.97;14.6;6.42;84.74;0
8/10/2018 7:52;5.01;16.84;7.37;84.66;0
8/10/2018 7:54;4.81;19.52;8.73;84.69;0
8/10/2018 7:56;4.7;22.75;11.2;84.74;0
8/10/2018 7:58;4.85;26.65;15.23;84.69;0
8/10/2018 8:00;4.75;31.16;19.98;84.76;0
8/10/2018 8:02;4.7;36.07;25.2;84.8;0
8/10/2018 8:04;4.75;41.06;29.29;84.75;0
8/10/2018 8:06;4.72;46.86;34.59;84.78;0
8/10/2018 8:08;4.66;53.4;41.1;84.74;0
8/10/2018 8:10;4.64;60.4;47.88;84.74;0
8/10/2018 8:12;4.82;68.17;55.52;84.78;0
8/10/2018 8:14;5.12;74.37;59.23;84.73;0
8/10/2018 8:16;5.19;80.77;60.75;84.7;0
8/10/2018 8:18;5.19;89.74;68.74;84.82;0
8/10/2018 8:20;5.1;98.76;75.07;84.76;0
8/10/2018 8:22;5.22;108.27;82.31;84.77;0
8/10/2018 8:24;5.12;114.38;84;84.74;0
8/10/2018 8:26;5.1;118.6;82.03;84.87;0
8/10/2018 8:28;5.03;128.99;87.33;84.75;0
8/10/2018 8:30;4.87;142.48;98.97;84.75;0
8/10/2018 8:32;4.8;146.29;97.54;84.8;0
8/10/2018 8:34;5.02;151.12;95.79;84.84;0
8/10/2018 8:36;5.38;152.59;92.05;84.79;0
8/10/2018 8:38;5.33;142.49;78.85;84.78;0
8/10/2018 8:40;5.25;134.77;67.41;84.81;0
8/10/2018 8:42;5.31;156.63;81.39;84.78;0
8/10/2018 8:44;5.57;178.25;95.74;84.76;0
8/10/2018 8:46;5.7;183.04;95.95;84.81;0
8/10/2018 8:48;5.74;192.95;99.02;84.81;0
8/10/2018 8:50;5.8;203.43;102.19;84.81;0
8/10/2018 8:52;5.83;225.26;112.86;84.81;0
8/10/2018 8:54;5.84;213.7;104.26;84.85;0
8/10/2018 8:56;5.88;185.74;85.85;84.8;0
8/10/2018 8:58;5.91;186.36;84.76;84.84;0
8/10/2018 9:00;5.94;183.37;81.99;84.87;0
8/10/2018 9:02;5.98;189.46;83.83;84.82;0
8/10/2018 9:04;6;195.97;86.27;84.73;0
8/10/2018 9:06;6.07;201.74;88.57;84.83;0
8/10/2018 9:08;6.13;203.92;89.18;84.84;0
8/10/2018 9:10;6.16;215.85;94.46;84.81;0
8/10/2018 9:12;6.21;234.91;103.46;84.81;0
8/10/2018 9:14;6.25;253.91;112.84;84.85;0
8/10/2018 9:16;6.34;270.95;121.46;84.85;0
8/10/2018 9:18;6.54;270.79;121.9;84.84;0
8/10/2018 9:20;6.66;267.03;120.21;84.83;0
8/10/2018 9:22;6.77;262.3;118.38;84.88;0
8/10/2018 9:24;6.97;269.34;121.96;84.82;0
8/10/2018 9:26;7.15;298.05;136.6;84.86;0
8/10/2018 9:28;7.13;319.66;148.38;84.91;0
8/10/2018 9:30;7.11;323.57;150.35;84.94;0
8/10/2018 9:32;7.1;336.13;156.42;84.84;0
8/10/2018 9:34;7.11;345.2;161.94;84.93;0
8/10/2018 9:36;7.16;376.08;178.78;84.87;0
8/10/2018 9:38;7.21;370.53;176.08;84.87;0
8/10/2018 9:40;7.24;406.09;194.65;84.9;0
8/10/2018 9:42;7.31;430.39;208.71;84.83;0
8/10/2018 9:44;7.4;442.61;214.96;84.88;0
8/10/2018 9:46;7.51;472.2;230.54;84.9;0
8/10/2018 9:48;7.64;496.12;242.14;84.95;0
8/10/2018 9:50;7.87;500.86;242.19;84.92;0
8/10/2018 9:52;8.12;520.2;250.29;84.98;0
8/10/2018 9:54;8.32;518.55;245.63;84.67;0
8/10/2018 9:56;8.42;532.01;249.86;84.32;0
8/10/2018 9:58;8.6;528.42;245.08;84.4;0
8/10/2018 10:00;8.92;527.22;240.24;84.17;0
8/10/2018 10:02;9.15;534.4;240.66;82.62;0
8/10/2018 10:04;9.24;564.53;251.4;81.93;0
8/10/2018 10:06;9.38;558.96;244.75;81.36;0
8/10/2018 10:08;9.49;585.23;254.34;80.56;0
8/10/2018 10:10;9.43;603.7;261.32;80.59;0
8/10/2018 10:12;9.56;615.86;266.57;80.22;0
8/10/2018 10:14;9.49;614.02;265.27;79.57;0
8/10/2018 10:16;9.64;634.83;275.46;80.83;0
8/10/2018 10:18;9.85;649.94;282.46;78.77;0
8/10/2018 10:20;10.01;663.83;288.25;78.11;0
8/10/2018 10:22;10.06;678.4;295.64;77.46;0
8/10/2018 10:24;10.27;686.79;299.75;77.89;0
8/10/2018 10:26;10.48;671.15;293.16;76.67;0
8/10/2018 10:28;10.65;671.33;293.26;75.36;0
8/10/2018 10:30;10.5;682.65;299.77;74.48;0
8/10/2018 10:32;10.47;684.69;303.08;74.95;0
8/10/2018 10:34;10.5;680.1;301.15;75.3;0
8/10/2018 10:36;10.71;644.41;284.76;75.48;0
8/10/2018 10:38;10.99;654.58;290.24;74.43;0
8/10/2018 10:40;11.36;686.75;307;73.13;0
8/10/2018 10:42;11.38;735.78;331.74;71.6;0
8/10/2018 10:44;11.2;743.09;337.22;71.9;0
8/10/2018 10:46;11.21;750.07;342.02;73.43;0
8/10/2018 10:48;11.44;764.55;349.9;72.23;0
8/10/2018 10:50;11.59;778.79;358.99;71.41;0
8/10/2018 10:52;11.65;791.69;367.67;70.76;0
8/10/2018 10:54;11.95;758.64;352.54;71.06;0
8/10/2018 10:56;12.04;773.2;360.76;68.63;0
8/10/2018 10:58;11.7;812.01;383.35;69.85;0
8/10/2018 11:00;11.41;814.34;390.51;71;0
8/10/2018 11:02;11.54;816.29;394.12;71.83;0
8/10/2018 11:04;11.86;825.65;400.39;70.48;0
8/10/2018 11:06;12.19;842.08;410.78;70.28;0
8/10/2018 11:08;12.55;854.89;418.83;68.25;0
8/10/2018 11:10;12.41;866.55;425.48;67.62;0
8/10/2018 11:12;12.43;860.94;423.82;68.09;0
8/10/2018 11:14;12.54;859.5;423.6;67.6;0
8/10/2018 11:16;12.59;858.36;423.5;68.16;0
8/10/2018 11:18;12.96;874.65;431.37;67.08;0
8/10/2018 11:20;13.14;876.64;432.76;65.32;0
8/10/2018 11:22;13.12;867.68;428.57;65.81;0
8/10/2018 11:24;13.32;879.81;434.1;64.32;0
8/10/2018 11:26;13.25;862.43;425.11;64.02;0
8/10/2018 11:28;12.96;890.58;439.64;64.92;0
8/10/2018 11:30;12.87;884.87;436.38;65.02;0
8/10/2018 11:32;13.05;923.24;457.15;65.85;0
8/10/2018 11:34;13.3;931.3;461.39;64.07;0
8/10/2018 11:36;13.31;919.43;453.75;63.35;0
8/10/2018 11:38;13.24;942.63;465.63;63.54;0
8/10/2018 11:40;13.29;971.88;481.78;61.36;0
8/10/2018 11:42;13.45;982.56;486.46;59.31;0
8/10/2018 11:44;13.42;1000.83;494.92;60.27;0
8/10/2018 11:46;13.31;1032.84;511.87;61.84;0
8/10/2018 11:48;13.47;1053.59;522.42;61.68;0
8/10/2018 11:50;13.73;1043.53;517.32;60.07;0
8/10/2018 11:52;13.86;953.46;469.54;59.59;0
8/10/2018 11:54;14;900.81;440.35;59.35;0
8/10/2018 11:56;14.04;910.73;445.69;58.38;0
8/10/2018 11:58;13.84;883.82;432.17;59.69;0
8/10/2018 12:00;13.79;892.56;434.81;59.27;0
8/10/2018 12:02;13.8;887.52;432.09;59.35;0
8/10/2018 12:04;13.91;894.9;435.55;60.09;0
8/10/2018 12:06;14.1;910.17;442.96;58.14;0
8/10/2018 12:08;14.13;933.4;454.18;58.87;0
8/10/2018 12:10;14.38;929.66;451.94;57.82;0
8/10/2018 12:12;14.67;929.52;451.32;57.46;0
8/10/2018 12:14;14.94;935.72;453.48;56.79;0
8/10/2018 12:16;15.12;965.98;468.67;56.11;0
8/10/2018 12:18;15.12;941.63;456.82;54.06;0
8/10/2018 12:20;14.92;965.87;468.05;53.87;0
8/10/2018 12:22;14.74;966.46;468.62;54.74;0
8/10/2018 12:24;14.84;956.41;462.67;54.9;0
8/10/2018 12:26;14.93;997.52;483.33;54.66;0
8/10/2018 12:28;14.87;938.71;453.47;55.08;0
8/10/2018 12:30;14.7;915.39;440.89;55.55;0
8/10/2018 12:32;14.78;986.11;475.44;55.04;0
8/10/2018 12:34;14.9;962.9;465.73;54.67;0
8/10/2018 12:36;15.09;935.78;451.71;54.23;0
8/10/2018 12:38;14.9;972.46;469.4;54.89;0
8/10/2018 12:40;15.01;939.19;450.26;54.53;0
8/10/2018 12:42;15.14;942.39;451.1;53.54;0
8/10/2018 12:44;15.1;967.33;463.54;53.77;0
8/10/2018 12:46;15.3;913.96;438.51;54;0
8/10/2018 12:48;15.26;864.01;413.36;54.12;0
8/10/2018 12:50;15.31;911.05;436.17;53.88;0
8/10/2018 12:52;15.36;934.18;447.72;53.02;0
8/10/2018 12:54;15.47;964.06;461.5;52.67;0
8/10/2018 12:56;15.31;996.76;477.71;52.97;0
8/10/2018 12:58;15.38;997.27;478.32;51.52;0
8/10/2018 13:00;15.42;921.73;441.5;50.82;0
8/10/2018 13:02;15.46;901.12;430.36;51.12;0
8/10/2018 13:04;15.46;949.21;453.99;52.01;0
8/10/2018 13:06;15.47;950.09;453.14;51.84;0
8/10/2018 13:08;15.55;948.8;451.18;51.53;0
8/10/2018 13:10;15.61;1047.31;501.91;51.08;0
8/10/2018 13:12;15.51;1104.75;530.77;51.2;0
8/10/2018 13:14;15.58;1104.6;530.28;51.44;0
8/10/2018 13:16;15.75;1045.38;500.33;50.12;0
8/10/2018 13:18;15.78;1100.7;526.33;49.36;0
8/10/2018 13:20;15.73;1179.05;565.6;49.66;0
8/10/2018 13:22;15.8;1220.19;586.87;49.82;0
8/10/2018 13:24;16.07;1183.47;569.12;49.17;0
8/10/2018 13:26;15.81;1076.01;517.4;49.27;0
8/10/2018 13:28;15.92;973.78;465;49.67;0
8/10/2018 13:30;16.12;1006.96;482.18;49.23;0
8/10/2018 13:32;16.08;969.78;464.52;49.54;0
8/10/2018 13:34;15.79;878.64;419.34;50.83;0
8/10/2018 13:36;15.74;818.81;388.85;51.13;0
8/10/2018 13:38;15.75;777.42;368.57;51.07;0
8/10/2018 13:40;15.71;739.74;350.41;52;0
8/10/2018 13:42;15.57;680.29;321.21;52.45;0
8/10/2018 13:44;15.49;670.01;315.31;52.34;0
8/10/2018 13:46;15.4;653.89;306.59;52.53;0
8/10/2018 13:48;15.53;660.62;310.3;52.11;0
8/10/2018 13:50;15.71;638.71;299.22;52.39;0
8/10/2018 13:52;15.83;678.41;317.69;51.68;0
8/10/2018 13:54;15.76;659.75;308.93;51.53;0
8/10/2018 13:56;15.67;648.63;302.82;51.47;0
8/10/2018 13:58;15.47;703.62;328.55;52.31;0
8/10/2018 14:00;15.7;813.5;381.04;52.41;0
8/10/2018 14:02;16.08;779.19;364.18;50.95;0
8/10/2018 14:04;16.11;793.59;369.63;50.3;0
8/10/2018 14:06;15.89;876.78;409;50.69;0
8/10/2018 14:08;15.76;930.65;434.91;51.31;0
8/10/2018 14:10;15.86;922.46;429.59;51.09;0
8/10/2018 14:12;15.96;911.64;424.57;50.8;0
8/10/2018 14:14;16.06;992;462.67;50.99;0
8/10/2018 14:16;16.18;1045.77;490.03;50.62;0
8/10/2018 14:18;16.4;1038.69;486.22;49.86;0
8/10/2018 14:20;16.29;987.13;460.36;49.96;0
8/10/2018 14:22;16.17;789;362.56;50.16;0
8/10/2018 14:24;16.33;950.33;438.98;49.92;0
8/10/2018 14:26;16.28;1007.51;469.19;50.01;0
8/10/2018 14:28;16.13;873.9;404.44;49.83;0
8/10/2018 14:30;16.04;938.83;433.15;50.33;0
8/10/2018 14:32;15.98;1060.03;492.48;50.8;0
8/10/2018 14:34;16.01;1050.16;486.95;50.81;0
8/10/2018 14:36;16.31;1065;493.85;49.9;0
8/10/2018 14:38;16.6;1058.01;490.42;49.16;0
8/10/2018 14:40;16.96;1057.95;490.96;47.76;0
8/10/2018 14:42;17.15;1058.61;492.82;47.19;0
8/10/2018 14:44;17.3;1052.93;491.62;46.83;0
8/10/2018 14:46;17.29;976.64;452.68;46.58;0
8/10/2018 14:48;16.88;945.91;435.29;47.28;0
8/10/2018 14:50;16.48;1023.33;475.1;48.9;0
8/10/2018 14:52;16.66;1010.54;467.7;49.01;0
8/10/2018 14:54;16.97;1021.46;473.28;47.81;0
8/10/2018 14:56;17.09;1010.32;469.02;47.96;0
8/10/2018 14:58;17.14;997.58;463.61;46.22;0
8/10/2018 15:00;17.41;933.02;431.72;45.39;0
8/10/2018 15:02;17.62;928.96;429.96;45.03;0
8/10/2018 15:04;17.72;954.47;442.83;45.29;0
8/10/2018 15:06;17.51;955.48;444.2;44.89;0
8/10/2018 15:08;17.17;809.45;367.08;46.37;0
8/10/2018 15:10;17.01;888.6;406.92;47.12;0
8/10/2018 15:12;17.2;879.11;403.21;47.07;0
8/10/2018 15:14;17.12;842.59;386.08;47.18;0
8/10/2018 15:16;16.8;809.34;370.69;47.65;0
8/10/2018 15:18;16.79;821.32;375.25;47.15;0
8/10/2018 15:20;16.84;880.59;405.17;46.92;0
8/10/2018 15:22;17.11;907.86;418.34;46.4;0
8/10/2018 15:24;17.35;901.55;416.06;45.78;0
8/10/2018 15:26;17.3;891.82;411.28;45.48;0
8/10/2018 15:28;17.26;868.95;399.92;46.9;0
8/10/2018 15:30;17.36;871.56;400.53;46.43;0
8/10/2018 15:32;17.43;900.77;415.79;45.76;0
8/10/2018 15:34;17.23;899.15;414.55;45.83;0
8/10/2018 15:36;16.99;886.68;408.16;46.66;0
8/10/2018 15:38;17.01;816.19;371.52;47.4;0
8/10/2018 15:40;16.86;845.75;385.37;48.18;0
8/10/2018 15:42;16.95;825.93;376.07;48.56;0
8/10/2018 15:44;17.16;812.43;369.6;48.35;0
8/10/2018 15:46;17.34;813.09;369.9;47.89;0
8/10/2018 15:48;17.43;786.93;357.44;47.58;0
8/10/2018 15:50;17.37;713.15;322.12;47.5;0
8/10/2018 15:52;17.55;690.86;310.54;46.39;0
8/10/2018 15:54;17.33;785.7;354.97;47.13;0
8/10/2018 15:56;17.17;787.89;356.23;47.72;0
8/10/2018 15:58;17.19;770.44;348.11;47.39;0
8/10/2018 16:00;17.58;752.59;339.67;46.68;0
8/10/2018 16:02;17.91;743.45;336.36;45.36;0
8/10/2018 16:04;17.63;779.66;354.26;45.82;0
8/10/2018 16:06;17.39;765.75;348.11;46.53;0
8/10/2018 16:08;17.53;715.23;323.19;45.73;0
8/10/2018 16:10;17.63;741.4;336.24;46.06;0
8/10/2018 16:12;17.41;776.13;352.73;46.36;0
8/10/2018 16:14;17.13;731.55;330.99;47.53;0
8/10/2018 16:16;17.38;742.96;335.45;46.77;0
8/10/2018 16:18;17.5;764.3;346.06;46.27;0
8/10/2018 16:20;17.63;765.32;346.02;46.33;0
8/10/2018 16:22;17.64;752.79;340.18;45.9;0
8/10/2018 16:24;17.64;768.61;348.3;45.99;0
8/10/2018 16:26;17.61;688.01;310.71;46.15;0
8/10/2018 16:28;17.7;576.23;258.06;46.15;0
8/10/2018 16:30;17.49;556.88;248.95;46.09;0
